zip_code,total_students,number_overweight,%overweight,number_obese,%obese,Num_farmersmarkets,#_of_retail_stores,Median,Mean,Pop
10919,,,,,,,8,76795.8794,91304.8541,783
10920,,,,,,,32,95165.5624,112377.1978,8649
10921,367,64,17.4386920981,64,17.4386920981,1,19,84742.1729,98913.1689,3804
10922,,,,,,,8,75547,80086,1480
10923,4764,890,18.6817800168,748,15.7010915197,,20,80267.1143,95185.1436,8256
10924,1556,182,11.6966580977,240,15.4241645244,1,50,84648.575,96934.6379,12319
10925,,,,,,,23,74809,87065,4870
10926,,,,,,,9,84067.4986,100623.6679,2901
10927,,,,,,1,41,46498.7732,64351.4346,10121
10928,,,,,,1,24,66151.0804,72944.3439,3881
10930,,,,,,,7,104131.4665,119779.2976,7253
10931,3219,370,11.4942528736,586,18.2044113079,,4,87256.892,109166.2928,1045
10932,,,,,,,,76397,84642,49
10933,,,,,,,,85941,95410,389
10940,2686,636,23.6783320923,462,17.2002978407,1,202,57731.017,69069.8915,42813
10941,,,,,,,35,67488.4292,80138.9258,12765
10949,,,,,,,5,,,
10950,,,,,,1,93,65250.8843,79973.9233,38803
10952,,,,,,,64,66192.7096,90002.3366,31623
10953,,,,,,,,66650,101518,248
10954,1139,226,19.8419666374,174,15.2765583845,,85,93219.2738,106607.6378,22066
10956,4134,578,13.9816158684,622,15.045960329,,95,114523.2715,138475.808,32030
10958,,,,,,,3,100108.1195,105057.5441,2916
10960,1320,252,19.0909090909,180,13.6363636364,2,88,78144.5666,107534.1526,14569
10962,,,,,,,33,117728.1796,134732.693,5329
10963,,,,,,,9,76427,86709,4195
10964,,,,,,1,5,79958,108530,1384
10965,1549,186,12.0077469335,264,17.0432537121,,67,103487.4907,125374.394,14569
10968,,,,,,1,22,92045,129291,2408
10969,,,,,,1,6,80186,89346,1195
10970,,,,,,1,33,89426.0718,107337.5855,9366
10973,1335,237,17.7528089888,241,18.0524344569,,9,95946.224,103078.6496,2016
10974,,,,,,,16,87352.924,100575.808,3048
10975,,,,,,,,78571,125222,359
10976,,,,,,,11,87985.864,119907.236,2001
10977,3645,840,23.0452674897,644,17.6680384088,1,151,67394.1495,81480.9424,48755
10979,,,,,,,2,74809,87065,264
10980,,,,,,1,37,66696.4888,70878.7413,9534
10981,,,,,,,4,,,
10982,,,,,,,8,,,
10983,,,,,,,22,91703.1731,109710.1206,5646
10984,,,,,,,8,105625,123510,2815
10985,,,,,,,,82773,94400,57
10986,,,,,,,3,,,
10987,,,,,,1,46,78461.902,124115.447,3003
10988,,,,,,,2,85941,95410,751
10989,,,,,,,21,85641.6547,103414.4829,9345
10990,1085,102,9.400921659,150,13.8248847926,1,75,91662.2756,106921.1437,19282
10992,2635,506,19.2030360531,358,13.5863377609,,25,89904.3856,89763.6472,8880
10993,,,,,,,25,54507.8906,72676.1248,4710
10994,,,,,,,81,106989.2042,134225.3928,7246
10996,,,,,,,,92841,126289,7122
10998,,,,,,,3,86131.674,95486.398,2453
11000,,,,,,,1,,,
11001,,,,,,,46,96704.5377,111212.712,26707
11002,,,,,,,1,,,
11003,,,,,,1,95,78862.7371,91207.8891,40973
11004,,,,,,,,75303.738,84521.7605,13390
11005,,,,,,,,57104,101012,2195
11010,,,,,,,70,82519.1491,96236.5417,23829
11020,3374,256,7.5874333136,472,13.9893301719,,18,117295.2436,166436.845,5733
11021,,,,,,1,64,100154.0824,150972.276,17512
11022,,,,,,,1,,,
11023,,,,,,,26,93124.8713,141564.9626,8593
11024,,,,,,,12,121654.721,190653.476,7993
11030,1826,158,8.6527929901,204,11.1719605696,,55,169390.2851,243352.7844,17033
11040,1923,232,12.0644825793,272,14.1445657826,1,98,98762.4917,116894.043,39784
11042,,,,,,,14,144293,222478,514
11043,,,,,,,1,,,
11050,2845,439,15.4305799649,390,13.7082601054,1,122,114601.8098,163838.7882,28714
11081,,,,,,,1,,,
11096,,,,,,,18,55025.568,68940.996,7976
11101,,,,,,1,1,39955.099,51519.3212,22556
