zip_code,Median,Mean,Pop
11779,85987.2133,95607.9087,38425
11780,104936.4529,130940.2505,15422
11782,97017.5361,109006.864,15721
11783,102422.3858,117033.0361,22063
11784,73739.882,82513.1812,25049
11786,112173.7014,122637.6585,5933
11787,110137.062,130812.7102,34277
11788,97670.9687,113159.8663,16528
11789,80796.8048,95044.8204,7345
11790,108211.7182,121840.245,17609
11791,136222.8328,181354.3802,24735
11792,104157.8256,111925.0836,7511
11793,105568.0258,121682.3493,32494
11794,60167,51568,3200
11795,99994.201,118972.4521,27089
11796,88052.6108,97094.3109,3865
11797,139208.8073,190162.8044,9111
11798,67938.3496,75149.2911,14796
11801,86200.7507,103355.6569,39393
11803,116390.6501,137076.5808,27719
11804,109050,133622,4942
11901,58528.2758,73673.1433,22490
11930,72175,90684,1299
11931,77663,89576,180
11932,94588.698,162762.714,1417
11933,79401.6094,92800.8325,5970
11934,76051.5976,98045.0646,6548
11935,78765.5425,102632.97,3383
11937,79892.8717,129902.2358,13215
11939,66193,93668,776
11940,90241.0363,126445.7226,4382
11941,79351.7814,107783.7975,1568
11942,81471.6237,111984.724,3985
11944,56250.0707,82387.346,3663
11946,63450.4571,83583.8383,12798
11947,77663,89576,309
11948,90243.4035,101532.385,803
11949,86594.5512,105474.8644,11362
11950,76802.119,81840.3334,14834
11951,70904.6052,71327.9272,12865
11952,90734.1537,102131.6068,4559
11953,65320.1607,75870.3236,12191
11954,69917.6774,92271.5236,3844
11955,69802.8052,85751.365,2672
11956,78359,102650,328
11957,66193,93668,709
11958,77933.2624,102206.5043,543
11959,83144.1864,107260.6078,1022
11960,75522,103774,1144
11961,68939.0754,80860.1896,12389
11962,94770,163919,445
11963,91015.5894,156503.252,6644
11964,71384,93973,1736
11965,71384,93973,489
11967,82569.7749,86509.8901,24613
11968,74487.3198,154825.379,11830
11970,77663,89576,473
11971,70996.5185,95009.3253,5577
11972,75353.151,107626.648,1126
11975,93111.5162,168344.0788,394
11976,89905.484,147241.0736,1955
11977,97953.8624,129727.8064,2408
11978,82515.817,127980.2403,3421
11980,84579.2768,89629.8211,4305
12007,68165,73708,89
12008,71667,80919,424
12009,68447.809,84139.5857,7459
12010,42485.3081,53633.0032,25949
12015,4809.5047,6417.9379,277
12017,66723.1949,96400.2414,382
12018,70812.5018,80223.9926,7393
12019,84968.6372,97506.1269,13358
12020,57471.6637,65897.9412,24363
12022,57321,62944,1008
12023,64864.9956,71716.1834,2119
12024,75954,113441,23
